from,https://tools.miku.ac/gpu_rank/,https://tools-api-cn.hazymoon.vip/gpu_rank,
,name,score,percentage
494,Ryzen 3 4300GE with Radeon Graphics,2402,9
495,Ryzen 5 Pro 4650G with Radeon Graphics,2395,9
496,Ryzen 3 5300GE with Radeon Graphics,2386,9
497,Radeon Ryzen 7 5800U,2384,9
498,Ryzen 3 5300G with Radeon Graphics,2378,9
499,FirePro V8800 Adapter,2376,9
500,GeForce GTX 580M,2373,9
501,Radeon Ryzen 7 Microsoft Surface Edition,2372,9
502,GRID K280Q,2363,9
503,GeForce GTX 485M,2360,9
504,Radeon Ryzen 7 4700G,2351,9
505,Ryzen 7 4800U with Radeon Graphics,2344,9
506,Ryzen 3 PRO 5350G with Radeon Graphics,2341,9
507,Ryzen 3 PRO 5350GE with Radeon Graphics,2341,9
508,Ryzen 7 Extreme Edition,2339,9
509,GRID M10-2B,2333,9
510,Radeon Ryzen 5 PRO 4650G with,2333,9
511,GeForce MX150,2329,9
512,Radeon Ryzen 7 PRO 5850U,2325,9
513,GRID M10-1B,2310,9
514,Ryzen 5 PRO 4400G with Radeon Graphics,2306,9
515,Radeon Ryzen 3 4300GE,2299,9
516,FirePro V7900,2297,9
517,Radeon Ryzen 7 4800U with,2290,9
518,GeForce GTX 460,2285,9
519,Radeon Ryzen 7 4800U,2285,9
520,Quadro K3100M,2282,9
521,Radeon Ryzen 7 4700G with,2274,9
522,Radeon Ryzen 5 PRO 4400G with,2271,9
523,Quadro K620,2270,9
524,Radeon HD 6970M,2270,9
525,Radeon R7 250X,2269,9
526,FirePro V8800,2267,9
527,Radeon HD 8950,2267,9
528,Radeon HD 5870,2264,8
529,Intel UHD 770,2261,8
530,GeForce GTX 1070 with MaxQ Design,2251,8
531,Radeon HD 5970,2249,8
532,Radeon Ryzen 5 4600G,2243,8
533,Radeon RX 550X,2239,8
534,GRID P100-1B,2223,8
535,Radeon HD 6870,2211,8
536,Radeon Ryzen 3 PRO 4350G,2204,8
537,Ryzen 3 Pro 4350G with Radeon Graphics,2190,8
538,Radeon Ryzen 3 PRO 4350G with,2190,8
539,Radeon Ryzen 5 PRO 4650GE with,2188,8
540,Ryzen 5 PRO 5650U with Radeon Graphics,2188,8
541,Ryzen 7 4700G with Radeon Graphics,2187,8
542,RadeonT R7 450,2185,8
543,Radeon HD 7770,2183,8
544,Ryzen 3 PRO 4350GE with Radeon Graphics,2181,8
545,GeForce GTX 745,2178,8
546,Intel Iris Pro P580,2169,8
547,Quadro P520,2151,8
548,GeForce GTX 675MX,2150,8
549,Radeon Ryzen Embedded V2718,2149,8
550,Quadro M600M,2142,8
551,Radeon RX Vega 11,2137,8
552,Radeon Ryzen 7 PRO 4750GE,2123,8
553,Ryzen 7 4800H with Radeon Graphics,2113,8
554,Radeon TM R9 A360,2105,8
555,Radeon Ryzen 5 4600G with,2104,8
556,FirePro M5100,2103,8
557,Ryzen 5 5600U with Radeon Graphics,2101,8
558,FirePro M6100,2094,8
559,GeForce GTX 460 v2,2091,8
560,GeForce GTX 560 SE,2087,8
561,GRID M6-1Q,2069,8
562,Radeon Ryzen 5 Microsoft Surface Edition,2068,8
563,Radeon Ryzen 7 4700U,2063,8
564,Ryzen 5 4600G with Radeon Graphics,2062,8
565,Quadro 5000M,2060,8
566,GeForce GTX 480M,2051,8
567,Radeon Ryzen 3 PRO 4350GE with,2040,8
568,FirePro V7800,2034,8
569,Quadro M520,2034,8
570,Ryzen 5 PRO 4650GE with Radeon Graphics,2034,8
